,query_id,query,query_locale,product_id,esci_label,product_title,product_description,product_bullet_point,product_brand,product_color_name,product_locale,example_id,fold
1998016,,power steering hose,us,B000IYZNFK,exact,ACDelco Professional 36-365453 Power Steering Pressure Line Hose Assembly,,"Silver heat guard helps protect hose in high temperature areas
Fluid restrictors help absorb vibration and reduce noise
Double lock beading tube end provides crimping and assists in leak prevention for hose/coupling integrity
Switch sockets allow reinstallation of original equipment pressure sensors
End lock tabs position hose for accurate alignment and routing",ACDelco,,us,1018313.0,2
62702,1453.0,bath oils for relaxation,us,B079P3RGS6,substitute,"SaltWorks Ultra Epsom, Lavender Scented Premium Epsom Bath Salt, 5 Pound Resealable Bag",,"100% ALL-NATURAL LAVENDER ESSENTIAL OIL: Get a peaceful night’s rest with the calming scent of premium lavender essential oil.
USP GRADE EPSOM BATH SALT: Ease painful joints and sore muscles with the highest quality magnesium sulfate.
RELAX AND RESTORE: Soothe back pain and tired feet, calm the nervous system, and promote beautiful skin with Ultra Epsom Bath Salt.
FREE FROM ADDITIVES OR ANYTHING ARTIFICIAL: Ultra Epsom contains only all-natural essential oils and the best Epsom salt.
MADE IN THE USA: Ultra Epsom Bath Salts are expertly crafted at SaltWorks’ state-of-the-art facility in Woodinville, WA.",SaltWorks,Clear Crystals,us,,4
52187,1160.0,arduino uno r4 original,us,B01DGD2GAO,substitute,ELEGOO UNO Project Basic Starter Kit with Tutorial and UNO R3 Compatible with Arduino IDE,,"The cheapest and most basic electronic components kit for Arduino beginner
Free PDF tutorial including project introduction and code will be provided, you can save a lot of time searching them.
With the newest UNO R3 development board + USB Cable and all the basic components.
Nice package in the box with clear listing and CD.
100% compatible with Arduino UNO R3, MEGA 2560 R3, NANO, Arduino kit.",ELEGOO,UNO Basic Starter Kit,us,,5
2643850,,ふちなしメガネ,jp,B09FXB6SMR,substitute,"AIYUJIWU ブルーライトカット メガネ ブルーライト めがね 紫外線カット UVカット 眼鏡 度なし おしゃれ pcメガネ パソコン用メガネ 伊達メガネ メンズ レディース 男女兼用 軽量 輻射防止 視力保護 睡眠改善 目の疲れを緩和する (ブラック・ゴールド, オーバル)",ブルーライトカット メガネ ブルーライト めがね 紫外線カット UVカット 眼鏡 度なし おしゃれ pcメガネ パソコン用メガネ 伊達メガネ メンズ レディース 男女兼用 軽量 輻射防止 視力保護 睡眠改善 目の疲れを緩和する,"【ブルーライトカット・UV紫外線カット・放射線防護】：高品質のブルーライト対策レンズを採用し、可視光線透過率は高く、色収差が低い。高い耐衝撃性を持つ、傷が付きにくい。眼に有害な光を効果的にカットします（ブルーライトカット率45％以上、HEVカット率90％以上、紫外線カット率99％以上）。効果的に目の疲れを緩和し、視力を保護し、睡眠の質を向上します
【軽やかで優雅なデザイン】：重さはわずか17.6グラム。フレームは軽量、耐久性がある合金素材で作られています。薄くて、軽い！スタイリッシュなデザインで、快適な着用感を実現しました。長時間着用しても、耳や鼻梁には圧迫感がありません！金属製フレームで光沢感が高く、色あせしない。エレガントで上質感のあります。
【ユニセックス・シンプルでスタイリッシュ】：フレームはシンプルなデザインで、お顔の形がキレイに見える、男性も女性も着用できる！丸みを帯びたテンプルで顔にフィットし、柔軟なヒンジデザインでどんな顔型にも似合う！
【多種多様の用途】：度なしブルーライトカットメガネは、ビジネスだけでなく、日常生活、仕事、外出、旅行などにも最適です。ゲーミングメガネ、スマホ、パソコン用だけでなく、外出時のファッションアイテムとしても活躍します。ご家族やお友達、恋人へのプレゼントとしてもオススメです！スマートフォン、パソコン、テレビ、ゲーム機など電気製品から放射
【付属品】：ブルーライトカットメガネ* 1、メガネケース* 1、メガネクロス* 1、ブルーライトテストカード＆ブルーライト* 1、パッケージ* 1 ※ご購入いただいた製品にご満足いただけず、カスタマーサービスまでご連絡ください。このような貴重な機会を私たちに与えてくれてありがとう。お客様の満足度は保証されています。 ステップ：【注文履歴】→【注文内容を表",AIYUJIWU,ブラック/ゴールド,jp,1802692.0,2
1490549,,containers for cleaning supplies,us,B00006ICOT,exact,"Rubbermaid Commercial Products Deluxe Carry Caddy for Cleaning Products, Spray Bottles, Sports/Water Bottles, and Postmates/Uber Eats Drivers, Black (FG315488BLA)",,"Cleaning use: Heavy-duty caddy conveniently fits on cleaning and housekeeping carts
Drink transportation: Ideal for carrying and transporting drink cups, coffee cups, water bottles, smoothies, etc.
Car wash kit: Holds and stores car cleaning sprays, soaps, sponges, rags, and detail tools.
Capacity: Securely holds up to (8) 32-ounce bottles and other cleaning tools
Size: 16"" length x 11"" width x 6. 7"" height; 2 pounds made in America",Rubbermaid Commercial Products,Black,us,507429.0,5
86182,8384.0,nutra bullet blender rebuild,us,B07K8SCVHK,exact,"NutriBullet N12-1001 10pc Single Serve Blender, Includes Travel Cup, One Size, Gray",,"POWERFUL: 1200-Watt motor
PRE-PROGRAMMED: Pulse cycle with automatic shut-off
Pulverizing
High torque power base
Hands-free auto-off for optimal extraction",NutriBullet,Gray,us,,3
2130213,,teal table decor,us,B07D1YZ5PJ,exact,YSZL 15 Inches Tall Artificial Silk Phalaenopsis Orchid Flower Plant Pot Arrangements (Golden Blue),"This false phalaenopsis orchid plant in pot is nearly natural, and it’s a pretty floral arrangements table centerpiece for wedding, party, birthday, office, restaurant, indoor, outdoor, home decor etc. It's also an adorable and unique gift for your family and friends. <br> <br> <b>Material: </b>Real touch latex leaves, silk flowers, plastic stems, ceramic pot. <br> <b>Crafts: </b>Hand-made<br> <b>Whole Size: </b>15 x 4x 4 inches<br> <b>Pot Size: </b>4.33 x 4 x 4 inches<br> <b>Flower Diameter: </b>2.7 inches<br> <b>Net Weight: </b>1.2lb <br> <b>Package: </b>1 x silk phalaenopsis orchid plant in pot. <br> <br> <b>Tips: </b><br> * High-quality silk material with good coloring and high simulation. Due to the silk cloth material, the edge will have a fabric fiber cutting marks. <br> *There would be accumulated dust if you put it in a place for very long time, You can use the hair dryer with cold wind to remove the dust. <br> *If it was seriously dirty, you could sink it into salt water with high concentration for 10 minutes and then add neutral detergent and then rinse twice. <br> *Please don't put it under strong sunshine. You'd better to dry it by the natural wind, or it will easily fade.","Total Size: 15 x 4 x 4 inches, pot size: 4.33 x 4 x 4 inches. Fake potted orchid has three stems, one stem has 5 flowers, one stem has 4 flowers and another stem has 3 flowers.
Realistic Butterfly Orchids Plants: Natural looking, real touch latex leaves, handmade silk flower, plastic stems and ceramic pot.
Material: The faux flowers and stem are made by high quality, healthy and environmental materials, doesn’t have smell.
This beautiful artificial potted phalaenopsis orchid is perfect for all year round decoration, such as bathroom, living room, bedroom etc.
100% Money Back Guarantee - If you are not 100% satisfied, simply return for a full refund within 30 days.",YSZL,Golden Blue,us,1189950.0,1
2249938,,hilti gun concrete,us,B01BI5OPHY,exact,Hilti Injectable Mortar Epoxy adh RE 500-V3 - 11.1 Oz Cartridge - 2123401,"Suitable for use in cracked and uncracked concrete with all anchoring elements Long working time allows greater flexibility during installation Seismic approval for use in seismic applications Reliable solution providing high performance in diamond-cored holes using the new roughening tool Applications: Structural connections with post-installed rebar such as extension/connection to walls, slabs, stairs, columns and foundations. Anchoring structural steel connections such as steel columns and beams. Structural renovation of buildings, bridges and other civil structures, retrofitting and re-strengthening of concrete members possible. Content per can/cartridge: 11.1 fluid oz (330 ml) Base materials: Concrete (cracked), Concrete (uncracked) Base material condition: Dry, Submerged, Water-filled, Wet Cleaning procedures: Auto cleaning with Hilti Hollow Drill Bit, Compressed-air cleaning Seismic loading: Yes Storage and transportation temperature: 41°F - 77°F In-service temperature - range: -40 - 158 °F IBC compliance: IBC 2012 Package Quantity: (1) Foil pack, (1) Mixer and (1) Mixer extension Hilti Part Number: 2123401 Approvals / Test reports: ICC-ES report (concrete)","Suitable for use in cracked and uncracked concrete with all anchoring elements
Long working time allows greater flexibility during installation
Reliable solution providing high performance in diamond-cored holes using the new roughening tool
In-service temperature – range: -40 - 158 °F
Package Quantity: (1) Foil pack, (1) Mixer and (1) Mixer extension",HILTI,,us,1359863.0,3
379892,15731.0,gfuel without caffeine,us,B09B2XRQ6P,exact,G Fuel Hydration Yuzu Slash Tub (30 Servings) Elite Hydration Powder 3.39oz,"Legend has it...A Samurai Warrior from the west once lived…”PEWDIEPIE” was his name...He lived with the discipline, honor and strength of ten men...It is said that he drank an elixir which granted him superhuman levels of Focus and Endurance...”YUZU SLASH G FUEL”...A mesmerizing YUZU FRUIT drink from the far east…Named after the samurai’s most famous finishing move...Will you too become a legend? Only one way to know... Caffeine-Free Electrolyte Enhanced Focus Fortified Packed with Vitamins 30 servings per tub","G FUEL Hydration is intended to be used as a hydration-solution/thirst-quencher
G FUEL Hydration is sugar-free (sucralose is the sweetener we use to replace sugar)
G FUEL Hydration, unlike G FUEL Energy, is caffeine-free
G FUEL Hydration contains a Focus additive – More specifically - the focus amino “L-Tyrosine” – This ingredient greatly improves one’s level of focus and serves as an ingredient that separates us from the typical “sports drink”
G FUEL Hydration is Vitamin-Fortified – Our formula contains an effective combination of various vitamins that you’d find amongst many of the industry’s leading beverages. oVitamin C oVitamin B12 oVitamin E oVitamin D3 oVitamin B6",G Fuel,,us,,1
292143,11067.0,stoki high chair,us,B07B68CCSX,exact,"Stokke Steps Chair - Natural Legs & White Seat - 5-in-1 Seat System - Can Transform Into Newborn + Toddler High Chair - Use Throughout Childhood or Up to 187 lbs. - Tool Free, Stylish & Adjustable","The Transformable Children's Chair: The Stokke Steps Chair comes with a wide range of accessories that enable it to be used from birth throughout childhood. Easy to clean surfaces make it simple to tidy up after happy mealtimes. Ergonomically designed to support both back and feet, the chair offers great comfort every step of the way. The generous, adjustable footrest gives little feet a rest and is essential to enable your child to shift position the same way adults do with their feet on the floor. It also promotes independence when your toddler is big enough to climb in and out of the chair by themselves.","5-IN-1 SEAT - Stokke Steps Chair is a 5-in-1 seating system designed to accommodate your child’s needs every step of the way. This simple-to-use concept works throughout childhood, from three years old to teen years, or up to 187 lbs.
HIGH CHAIR ADD-ON - Optional add-ons transform the Stokke Steps into a seat that can be used from birth with the clip-on Bouncer, featuring a cradling motion for your newborn. Plus, the Baby Set turns it into a functional high chair for toddlers.
ERGONOMIC & STYLISH - With a contemporary design, Stokke Steps will never go out of style. It’s easy to clean with a convenient, tool-free design. Includes adjustable back & footrest for optimal support. Available in various colors & wood choices.
SAFE & CERTIFIED - Stokke Steps is free from phthalates and made without harmful substances. Plus, it’s JPMA and Intertek GS certified.
DESIGN WITH A PURPOSE - Stokke entered the children's furniture & accessories sector in 1972, and since then, all our products have been designed to challenge the ordinary, foster healthy development, and nurture family bonding.",Stokke,Natural Legs & White Seat,us,,4
